id_carro,marca,modelo,versao,cor,ano_fabricacao,quilometragem,idade_anos,trm,preco,valor_parcela,loja,cidade,estado
1008845,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,80766,2,3365,47900.0,709.19,Piracicaba,Piracicaba,SP
970507,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,77448,2,3227,47900.0,709.19,Belo Horizonte Antonio Carlos,Belo Horizonte,MG
1027918,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,79073,2,3295,48800.0,722.51,São José dos Campos,São José dos Campos,SP
1017555,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,72804,2,3034,48800.0,722.51,São Paulo Vila Guilherme,São Paulo,SP
1028623,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,82429,2,3435,48900.0,723.99,Osasco,Osasco,SP
1031464,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,89454,2,3727,49400.0,731.4,Indaiatuba,Indaiatuba,SP
1029540,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,79192,2,3300,49500.0,732.88,São Paulo Penha,São Paulo,SP
1029536,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,79449,2,3310,49800.0,737.32,Campinas Shopping Dom Pedro,Campinas,SP
1074139,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2025,84772,1,7064,49800.0,737.32,Belo Horizonte Carlos Luz,Belo Horizonte,MG
970546,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,87325,2,3639,49800.0,737.32,Maringá,Maringá,PR
1073072,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2025,89097,1,7425,49800.0,737.32,Belo Horizonte Raja,Belo Horizonte,MG
970455,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,73281,2,3053,50000.0,740.28,São Paulo Vila Ema,São Paulo,SP
946316,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,73892,2,3079,50000.0,740.28,São José dos Campos,São José dos Campos,SP
1065052,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Prata,2024,84791,2,3533,50200.0,743.24,Campinas Shopping Dom Pedro,Campinas,SP
970486,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,68549,2,2856,50300.0,744.72,São Paulo Miguel Estefano,São Paulo,SP
995450,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,72655,2,3027,50400.0,746.2,Aparecida de Goiânia,Aparecida de Goiânia,GO
1076501,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2025,74477,1,6206,50600.0,749.16,Contagem Babita Camargo,Contagem,MG
1078431,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2025,87563,1,7297,50600.0,749.16,São Paulo Radial Leste,São Paulo,SP
1253946,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2025,84671,1,7056,50600.0,749.16,Taubaté,Taubaté,SP
1120920,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Prata,2025,80860,1,6738,50800.0,752.12,Ribeirão Preto,Ribeirão Preto,SP
693019,Fiat,Mobi,Like 1.0 Fire Flex 5P.,Vermelho,2021,59846,5,997,50800.0,752.12,São José,São José,SC
1010359,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,72977,2,3041,51000.0,755.09,Mogi das Cruzes,Mogi das Cruzes,SP
1032169,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,76000,2,3167,51000.0,755.09,Sorocaba Dom Aguirre,Sorocaba,SP
1029873,Renault,Kwid,Zen 1.0 Flex 12V 5P Mec.,Branco,2024,70392,2,2933,51000.0,755.09,Ribeirão Preto,Ribeirão Preto,SP
